fix_start,stop,text,global_text,video_path
0,75, It appears that the patient is arriving to the room and they are getting him, It appears that the patient is arriving to the room and they are getting him acquainted with the room and how to use the call light. It also appears that they are troubleshooting his IV line or arterial line to see why it is not reading well on the monitor. The patient is sitting upright and seems appropriate with staff.,/data/video_narration/2023_05_09_heather/clip_01/rt.mp4
75,179, acquainted with the setup of the room and how to use the call light. It also, It appears that the patient is arriving to the room and they are getting him acquainted with the room and how to use the call light. It also appears that they are troubleshooting his IV line or arterial line to see why it is not reading well on the monitor. The patient is sitting upright and seems appropriate with staff.,/data/video_narration/2023_05_09_heather/clip_01/rt.mp4
179,297, appears that they are troubleshooting his IV line or arterial line to see why, It appears that the patient is arriving to the room and they are getting him acquainted with the room and how to use the call light. It also appears that they are troubleshooting his IV line or arterial line to see why it is not reading well on the monitor. The patient is sitting upright and seems appropriate with staff.,/data/video_narration/2023_05_09_heather/clip_01/rt.mp4
297,380, it is not reading well on the monitor. The patient is sitting upright and seems, It appears that the patient is arriving to the room and they are getting him acquainted with the room and how to use the call light. It also appears that they are troubleshooting his IV line or arterial line to see why it is not reading well on the monitor. The patient is sitting upright and seems appropriate with staff.,/data/video_narration/2023_05_09_heather/clip_01/rt.mp4
380,445, appropriate with staff., It appears that the patient is arriving to the room and they are getting him acquainted with the room and how to use the call light. It also appears that they are troubleshooting his IV line or arterial line to see why it is not reading well on the monitor. The patient is sitting upright and seems appropriate with staff.,/data/video_narration/2023_05_09_heather/clip_01/rt.mp4
0,207," At this time, it appears the nurse is trying to fix the line and figure out why it is not reading on the monitor. The patient is sitting upright and appropriate with staff."," At this time, it appears the nurse is trying to fix the arterial line and figure out why it is not reading on the monitor. The patient is sitting upright and appropriate with staff. The patient may need a new arterial line placed if they are not able to solve this.",/data/video_narration/2023_05_09_heather/clip_02/rt.mp4
0,106," At this time, it appears the nurse is explaining something to the patient and also assisting"," At this time, it appears the nurse is explaining something to the patient and also assisting him to use the call light for calling the nurse or using the television. The patient is stable and is conversing with staff. He seems to understand the conversation that is taking place with the nurse.",/data/video_narration/2023_05_09_heather/clip_03/rt.mp4
106,216, him to use the call light for calling the nurse or using the television period.," At this time, it appears the nurse is explaining something to the patient and also assisting him to use the call light for calling the nurse or using the television. The patient is stable and is conversing with staff. He seems to understand the conversation that is taking place with the nurse.",/data/video_narration/2023_05_09_heather/clip_03/rt.mp4
216,319," The patient is stable and is conversing with staff, period."," At this time, it appears the nurse is explaining something to the patient and also assisting him to use the call light for calling the nurse or using the television. The patient is stable and is conversing with staff. He seems to understand the conversation that is taking place with the nurse.",/data/video_narration/2023_05_09_heather/clip_03/rt.mp4
319,427," He seems to understand the conversation that is taking place, period."," At this time, it appears the nurse is explaining something to the patient and also assisting him to use the call light for calling the nurse or using the television. The patient is stable and is conversing with staff. He seems to understand the conversation that is taking place with the nurse.",/data/video_narration/2023_05_09_heather/clip_03/rt.mp4
